,Ticker,longName,industry,sector,country,website,fullTimeEmployees,longBusinessSummary,marketCap,dividendYield,trailingPE,forwardPE,beta,profitMargins,revenueGrowth,totalRevenue,grossMargins,ebitdaMargins,operatingMargins,netIncomeToCommon,trailingEps,forwardEps,pegRatio,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,recommendationMean
10,APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,Basic Materials,United States,https://www.airproducts.com,23000.0,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and related services in the Americas, Asia, Europe, the Middle East, India, and internationally. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, and syngas; and specialty gases for customers in various industries, including refining, chemical, manufacturing, electronics, energy production, medical, food, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. The company was founded in 1940 and is headquartered in Allentown, Pennsylvania.",69813043200.0,0.0226,18.21514,21.657171,0.826,0.31636,-0.001,12100599808.0,0.32493,0.35507,0.25791,3842099968.0,17.24,14.5,3.77,79.822,1.522,1.296,2984699904.0,14905799680.0,-3224012544.0,2.2
11,ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,United States,https://www.airbnb.com,6907.0,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. The company's marketplace connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms, primary homes, and vacation homes. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",84500406272.0,,47.12544,29.402174,,0.16956,0.099,10840000512.0,0.83072,0.15434,0.40862998,1838000000.0,2.87,4.6,1.92,23.492,1.616,0.993,11253000192.0,1994000000.0,3208000000.0,2.8
12,AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,United States,https://www.akamai.com,10250.0,"Akamai Technologies, Inc. provides cloud computing, security, and content delivery services in the United States and internationally. The company offers cloud solutions to keep infrastructure, websites, applications, application programming interfaces, and users safe from various cyberattacks and online threats while enhancing performance. It also provides web and mobile performance solutions to enable dynamic websites and applications; media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics; and cloud computing services, such as compute, storage, networking, database, and container management services to build, deploy, and secure applications and workloads. In addition, the company offers content delivery solutions; and an array of service and support to assist customers with integrating, configuring, optimizing, and managing its offerings. It sells its solutions through various channel partners. Akamai Technologies, Inc. was incorporated in 1998 and is headquartered in Cambridge, Massachusetts.",13782804480.0,,26.911242,13.298245,,0.13266,0.041,3966245888.0,0.59744,0.28198,0.15194,526177984.0,3.38,6.84,2.46,96.999,1.328,1.208,1699204992.0,4650246144.0,620471616.0,2.2
13,ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,United States,https://www.albemarle.com,9000.0,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Energy Storage, Specialties and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. The Specialties segment provides bromine-based specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; develops and manufactures cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators. The Ketjen segment offers clean fuels technologies (CFT), which is composed of hydroprocessing catalysts (HPC) together with isomerization and akylation catalysts; fluidized catalytic cracking (FCC) catalysts and additives; and performance catalyst solutions (PCS), which is composed of organometallics and curatives. The company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, and crop protection markets. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina.",11510691840.0,0.0162,,46.633335,,-0.28798,-0.414,6501978112.0,-0.11823,-0.14376001,-0.20657,-1967380992.0,-16.76,2.1,30.95,35.334,2.444,1.509,1664519040.0,3706776064.0,-1791343232.0,2.6
14,ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,Real Estate,United States,https://www.are.com,568.0,"Alexandria Real Estate Equities, Inc. (NYSE: ARE), an S&P 500® company, is a best-in-class, mission-driven life science REIT making a positive and lasting impact on the world. As the pioneer of the life science real estate niche since our founding in 1994, Alexandria is the preeminent and longest-tenured owner, operator, and developer of collaborative life science mega campuses in AAA innovation cluster locations, including Greater Boston, the San Francisco Bay Area, San Diego, Seattle, Maryland, Research Triangle, and New York City. Alexandria has a total market capitalization of $34.4 billion and an asset base in North America of 74.1 million SF as of March 31, 2024, which includes 42.2 million RSF of operating properties, 5.3 million RSF of Class A/A+ properties undergoing construction and one committed near-term project expected to commence construction in the next two years, 2.5 million RSF of priority anticipated development and redevelopment projects, and 24.1 million SF of future development projects. Alexandria has a longstanding and proven track record of developing Class A/A+ properties clustered in life science mega campuses that provide our innovative tenants with highly dynamic and collaborative environments that enhance their ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science companies through our venture capital platform. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value.",19919374336.0,0.045700002,69.5,33.13372,1.176,0.09618,0.109,3085452032.0,0.71103996,0.61745,0.27855,282550016.0,1.64,3.44,0.43,58.757,2.771,2.62,562606016.0,13339938816.0,1365915392.0,2.3
15,ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,United States,https://www.aligntech.com,21690.0,"Align Technology, Inc. designs, manufactures, and markets Invisalign clear aligners, and iTero intraoral scanners and services for orthodontists and general practitioner dentists in the United States, Switzerland, and internationally. The company's Clear Aligner segment offers comprehensive products, including Invisalign comprehensive package that addresses the orthodontic needs of younger patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of six and ten years, which is a mixture of primary/baby and permanent teeth. The segment also provides Invisalign moderate, lite and express packages, and Invisalign go and Invisalign Go Plus; retention products, Invisalign training, and adjusting tools used by dental professionals during the course of treatment; and Invisalign Palatal Expander, a 3D printed orthodontic device; and 3D printing solutions. Its Imaging Systems and CAD/CAM Services segment offers iTero intraoral scanning system, a single hardware platform for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; and orthodontists software for digital records storage, orthodontic diagnosis, and fabrication of printed models and retainers. This segment also provides Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; Align Oral Health Suite, a digital interface designed to enhance dental consultations; and TimeLapse technology, which allows doctors or practitioners to compare a patient's historic 3D scans to the present-day scan, as well as subscription software, disposables, rentals, leases, pay per scan, and CAD/CAM software solutions. The company was incorporated in 1997 and is headquartered in Tempe, Arizona.",16534169600.0,,37.730835,21.586744,1.65,0.111490004,0.018,3960518912.0,0.7032,0.20708,0.16604,441568992.0,5.87,10.26,2.53,3.235,1.259,1.067,1041934976.0,127603000.0,413269120.0,2.4
16,ALLE,Allegion plc,Security & Protection Services,Industrials,Ireland,https://www.allegion.com,12200.0,"Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door controls and systems and exit devices; locks, locksets, portable locks, and key systems and services; electronic security products and access control systems; time, attendance, and workforce productivity systems; doors, accessories, and other. It also provides services and software, which includes inspection, maintenance, and repair services for its automatic entrance solutions; and software as a service, including access control, IoT integration, and workforce management solutions, as well as aftermarket services, design and installation offerings, and locksmith services. The company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, retail, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, online and e-commerce platforms, and small specialty showroom outlets. Allegion plc was incorporated in 2013 and is headquartered in Dublin, Ireland.",12569106432.0,0.0135,22.27889,18.560976,1.123,0.15359999,0.054,3724000000.0,0.43960997,0.23856,0.22242,572000000.0,6.49,7.79,2.53,162.864,1.706,1.226,878899968.0,2558599936.0,483849984.0,2.8
17,LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,United States,https://www.alliantenergy.com,3281.0,"Alliant Energy Corporation operates as a utility holding company that provides regulated electricity and natural gas services in the United States. It operates in three segments: Utility Electric Operations, Utility Gas Operations, and Utility Other. The company, through its subsidiary, Interstate Power and Light Company (IPL), primarily generates and distributes electricity, and distributes and transports natural gas to retail customers in Iowa; sells electricity to wholesale customers in Minnesota, Illinois, and Iowa; and generates and distributes steam in Cedar Rapids, Iowa. Alliant Energy Corporation, through its other subsidiary, Wisconsin Power and Light Company (WPL), generates and distributes electricity, and distributes and transports natural gas to retail customers in Wisconsin; and sells electricity to wholesale customers in Wisconsin. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, packaging, and food industries, as well as wholesale customers comprising municipalities and rural electric cooperatives. In addition, the company owns and operates a short-line rail freight service in Iowa; a Mississippi River barge, rail, and truck freight terminal in Illinois; freight brokerage services; wind turbine blade recycling services; and a rail-served warehouse in Iowa. Further, it holds interests in a natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a wind farm located in Oklahoma. The company was formerly known as Interstate Energy Corp. and changed its name to Alliant Energy Corporation in May 1999. Alliant Energy Corporation was incorporated in 1981 and is headquartered in Madison, Wisconsin.",14785234944.0,0.0341,22.420233,17.839008,0.574,0.16667,0.004,3966000128.0,0.44907,0.41276002,0.45051,661000000.0,2.57,3.23,2.62,153.258,0.86,0.564,827000000.0,10679000064.0,-1098125056.0,2.4
18,ALL,The Allstate Corporation,Insurance - Property & Casualty,Financial Services,United States,https://www.allstate.com,53000.0,"The Allstate Corporation, together with its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. It operates in five segments: Allstate Protection; Protection Services; Allstate Health and Benefits; Run-off Property-Liability; and Corporate and Other segments. The Allstate Protection segment offers private passenger auto and homeowners insurance; other personal lines products; and commercial lines products through agents, contact centers, and online. The Protection Services segment provides consumer product protection; protection and insurance products, including vehicle service contracts, guaranteed asset protection, road hazard tire and wheel, and paintless dent repair protection; and roadside assistance, device and mobile data collection services, and analytic solutions using automotive telematics information, as well as identity theft protection and remediation services. This segment also offers its products under various brands, including Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside, Arity, Avail, and Allstate Identity Protection. The Allstate Health and Benefits segment provides life, accident, critical illness, short-term disability, and other health insurance products; stop-loss and fully insured group health products to employers; and short-term medical and medicare supplement insurance to individuals. The Run-off Property-Liability segment offers property and casualty insurance coverage that primarily relates to policies written during the 1960s through the mid-1980s. The Corporate and Other segment provides debt services, as well as non-insurance operations. It sells its products through agents, independent agents, call and contact centers, retailers, direct to consumer, wholesale partners, and affinity groups, as well as through online and mobile applications. The Allstate Corporation was founded in 1931 and is headquartered in Northbrook, Illinois.",52101316608.0,0.019299999,12.718488,10.312107,0.481,0.067719996,0.147,62432002048.0,0.22216,0.0992,0.093219995,4111000064.0,15.47,19.08,0.07,38.833,0.431,0.256,7810999808.0,8092000256.0,2982249984.0,2.0
19,GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,United States,https://abc.xyz,181269.0,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",2197980315648.0,0.0044,23.723475,19.963728,1.034,0.27738002,0.151,339859013632.0,0.58127,0.36330003,0.32312,94268997632.0,7.54,8.96,1.03,9.324,1.95,1.761,93229998080.0,29289000960.0,41104498688.0,1.9
20,GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,United States,https://abc.xyz,181269.0,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",2197145124864.0,0.0044,23.883444,20.170025,1.034,0.27738002,0.151,339859013632.0,0.58127,0.36330003,0.32312,94268997632.0,7.55,8.94,1.04,9.324,1.95,1.761,93229998080.0,29289000960.0,41104498688.0,1.7
