Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
BMBL;1242698;USD;2022;FY;2022-12-31;2023-02-28;2024-02-28;129421157;129421157;-114124000;89713000;192280000;-34928000;;;;;132941000;-16333000;;-69720000;-86053000;;-5750000;;-14954000;37867000
BMBL;1242698;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;134936824;134936824;-1868000;68028000;107256000;8670000;;;;;182086000;-14935000;;-9820000;-24755000;;-5750000;-157139000;-198891000;-47840000
BMEA;11795158;USD;2020;FY;2020-12-31;2021-02-28;2023-03-28;27267867;27267867;-5324000;8000;446000;411000;;;;;-4459000;-51000;;;-51000;;;65930000;65966000;61456000
BMEA;11795158;USD;2021;FY;2021-12-31;2022-02-28;2024-03-28;23858552;23858552;-41567000;249000;7454000;-1574000;;;;;-35438000;-3171000;-30184000;;-33355000;;;153221000;153185000;84392000
BMEA;11795158;USD;2022;FY;2022-12-31;2023-03-28;2024-03-28;29271777;29271777;-81828000;691000;11051000;7669000;;;;;-62417000;-1030000;28371000;;27341000;;;1239000;1239000;-33837000
BMEA;11795158;USD;2023;FY;2023-12-31;2024-03-28;2024-03-28;34106923;34106923;-117255000;1515000;16818000;2330000;;;;;-96592000;-3370000;1150000;;-2220000;;;163798000;163798000;64986000
BMI;252337;USD;2019;FY;2019-12-31;2020-02-21;2022-02-23;29028000;29220000;47177000;24146000;-350000;9741000;;;;;80714000;-7496000;;;-7496000;-18595000;-13500000;-3059000;-37709000;35785000
BMI;252337;USD;2020;FY;2020-12-31;2021-02-24;2023-02-22;29052000;29230000;49343000;25216000;-1461000;16480000;;;;;89578000;-9059000;;-29134000;-38193000;-20340000;-4600000;-1878000;-27819000;23402000
BMI;252337;USD;2021;FY;2021-12-31;2022-02-23;2024-02-16;29157628;29341832;60884000;27862000;-959000;-277000;;;;;87510000;-6746000;;-45273000;-51423000;-22155000;;1648000;-20507000;14901000
BMI;252337;USD;2022;FY;2022-12-31;2023-02-22;2025-02-14;29052301;29229868;66496000;26241000;-3119000;-7167000;;;;;82451000;-5891000;;;-5891000;-24881000;;276000;-24605000;50878000
BMI;252337;USD;2023;FY;2023-12-31;2024-02-16;2025-02-14;29284000;29456000;92598000;28110000;-4800000;-5791000;;;;;110117000;-12003000;;-17127000;-29130000;-29052000;;967000;-28085000;53730000
BMRA;245138;USD;2019;FY;2019-05-31;2019-08-29;2019-08-29;9212557;9212557;-2393060;162905;172939;-186823;;;;;-2244039;-171111;;;-171111;;;1898365;1907427;-518118
BMRA;245138;USD;2020;FY;2020-05-31;2020-08-31;2021-10-14;10166296;10166296;-2677171;129172;785661;-2535160;;;;;-4297498;-118927;;;-118927;;;10456391;12373977;7954242
BMRA;245138;USD;2021;FY;2021-05-31;2021-08-27;2022-08-29;11928941;11928941;-7446254;138267;3909225;-1852986;-455614;-1906013;-293062;801703;-5251748;-295583;;;-295583;;;1279649;1113730;-4441716
BMRA;245138;USD;2022;FY;2022-05-31;2022-08-29;2023-08-25;12673245;12673245;-4531000;339000;113000;3600000;;;;;-479000;-170000;;;-170000;;;2479000;2394000;1719000
BMRA;245138;USD;2023;FY;2023-05-31;2023-08-25;2024-08-28;14154269;14154269;-7140000;84000;1620000;-38000;;;;;-5474000;-78000;;;-78000;;;10095000;9390000;3802000
BMRN;135371;USD;2019;FY;2019-12-31;2020-02-27;2022-02-25;179039000;179039000;-23848000;105300000;67902000;-101092000;;;;;48262000;-138406000;108188000;;-31026000;;26524000;;-74674000;-56536000
BMRN;135371;USD;2020;FY;2020-12-31;2021-02-26;2023-02-27;180804000;191678000;854029000;105172000;-648901000;-224935000;;;;;85365000;-70360000;26171000;;-53621000;;275756000;-50000000;181118000;211712000
BMRN;135371;USD;2021;FY;2021-12-31;2022-02-25;2024-02-26;183214000;183214000;-64080000;108039000;194543000;66034000;;;;;304536000;-119225000;-246094000;;-366313000;;-3039000;49194000;-48000;-61882000
BMRN;135371;USD;2022;FY;2022-12-31;2023-02-27;2024-02-26;185266000;188963000;141561000;101969000;28755000;-96383000;;;;;175902000;-28215000;8186000;;-20029000;;-2605000;69333000;-18650000;137255000
BMRN;135371;USD;2023;FY;2023-12-31;2024-02-26;2024-02-26;187834000;191595000;167645000;104386000;223767000;-336539000;;;;;159259000;-107611000;-3633000;;-111244000;;-2286000;69353000;-18727000;30596000
BMY;255210;USD;2019;FY;2019-12-31;2020-02-24;2022-02-09;1705000000;1712000000;3460000000;1746000000;-166000000;3170000000;752000000;463000000;229000000;1726000000;8210000000;-836000000;15000000;-24777000000;-9913000000;-2679000000;17653000000;-7300000000;7621000000;5909000000
BMY;255210;USD;2020;FY;2020-12-31;2021-02-10;2023-02-14;2258000000;2258000000;-8995000000;10380000000;11680000000;987000000;;;;;14052000000;-753000000;2237000000;-13084000000;-10859000000;-4075000000;3928000000;-1004000000;-1151000000;2153000000
BMY;255210;USD;2021;FY;2021-12-31;2022-02-09;2024-02-13;2219000000;2243000000;7014000000;10686000000;-497000000;-996000000;;;;;16207000000;-973000000;1297000000;-1610000000;-538000000;-4396000000;-6182000000;-5646000000;-16224000000;-657000000
BMY;255210;USD;2022;FY;2022-12-31;2023-02-14;2025-02-12;2153000000;2245000000;6345000000;10276000000;-1326000000;-1619000000;;;;;13676000000;-1118000000;3037000000;-4286000000;-1672000000;-4634000000;-5311000000;-7017000000;-16962000000;-4991000000
BMY;255210;USD;2023;FY;2023-12-31;2024-02-13;2025-02-12;2069000000;2078000000;8040000000;9760000000;-2026000000;-1247000000;;;;;14527000000;-1209000000;-826000000;-1169000000;-2962000000;-4744000000;456000000;-5128000000;-9416000000;2194000000
BNED;75409;USD;2019;FY;2019-04-30;2019-06-25;2021-06-30;473060;473060;-24374000;65865000;64880000;15420000;;;;;121791000;-46420000;;-10000000;-55620000;;-62900000;-1977000;-68272000;-2101000
BNED;75409;USD;2020;FY;2020-04-30;2020-07-14;2022-06-29;480130;480130;-38250000;61860000;6868000;-39154000;;;;;-8676000;-36192000;;;-37019000;;41200000;-1265000;39935000;-5760000
BNED;75409;USD;2021;FY;2021-04-30;2021-06-30;2023-07-31;496690;496690;-133569000;45204000;22026000;93388000;;;;;32896000;-27562000;;;-36888000;;2900000;9975000;11799000;7807000
BNED;75409;USD;2022;FY;2022-04-30;2022-06-29;2023-07-31;517970;517970;-61559000;42124000;-12318000;15558000;;;;;1161000;-33607000;;;-42661000;;48100000;-2114000;45721000;4221000
BNED;75409;USD;2023;FY;2023-04-30;2023-07-31;2024-07-01;524540;524540;-180280000;42163000;20199000;233871000;;;;;117110000;-25092000;;;-31043000;;-41546000;-864000;-49675000;36392000
BNET;13841929;USD;2020;FY;2020-12-31;2020-12-23;2021-09-29;41962302;31187645;-4553241;1248;2466711;970975;;;;;-1114307;;;;1584000;;15000;;49800;519493
BNET;13841929;USD;2021;FY;2021-12-31;2021-12-30;2021-09-29;41962302;41088992;-3450765;827;1091681;807797;;;;;-1550460;;;;1860000;;;3349490;3345953;3655493
BNFT;967945;USD;2019;FY;2019-12-31;2020-03-05;2022-03-04;32539748;32539748;-45515000;22351000;30965000;-26176000;;;;;-18375000;-13248000;;-20914000;-34162000;;-1627000;453000;-7415000;-59952000
BNFT;967945;USD;2020;FY;2020-12-31;2021-03-10;2022-03-04;32318201;32318201;-24297000;25014000;26224000;710000;;;;;27651000;-13085000;-95125000;;-108210000;;-15831000;70110000;40289000;-40270000
BNFT;967945;USD;2021;FY;2021-12-31;2022-03-04;2022-03-04;33354624;33354624;-32166000;25581000;36922000;3165000;;;;;33502000;-11776000;57046000;-28175000;17095000;;-99282000;407000;-110302000;-59705000
BNGO;1253246;USD;2019;FY;2019-12-31;2020-03-10;2021-03-23;59400;59400;-29815070;1127850;4129573;-4972073;;;;;-29529720;-61056;;0;-61056;;21482438;19698170;30379420;788644
BNGO;1253246;USD;2020;FY;2020-12-31;2021-03-23;2022-03-01;440778;440778;-41106000;1479000;4753000;-3440000;;;;;-38314000;0;0;-2450000;-2450000;;23928000;39974000;61902000;21138000
BNGO;1253246;USD;2021;FY;2021-12-31;2022-03-01;2023-03-09;467889;467889;-72435000;3351000;4204000;-7047000;;;;;-71927000;-1460000;-226909000;-49086000;-278062000;;-4980000;342800000;336111000;-13878000
BNGO;1253246;USD;2022;FY;2022-12-31;2023-03-09;2024-03-05;482981;482981;-132596000;9621000;26098000;-27939000;;;;;-124816000;-3276000;116693000;-31344000;82731000;;343000;23278000;23043000;-19080000
BNGO;1253246;USD;2023;FY;2023-12-31;2024-03-05;2024-03-05;570305;570305;-232493000;13708000;108373000;-14769000;;;;;-125181000;-1691000;25753000;;24111000;;71023000;57804000;113862000;12857000
BNL;11794980;USD;2019;FY;2019-12-31;2020-02-27;2022-02-23;140892000;153116000;85114000;105408000;-45223000;2059000;;;;;147358000;-5051000;;;-831707000;-61961000;799010000;-34599000;685671000;1322000
BNL;11794980;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;117150000;128799000;56276000;131568000;-11359000;2543000;;;;;179028000;-41667000;;-95382000;-60236000;-71532000;56365000;;-28375000;90417000
BNL;11794980;USD;2021;FY;2021-12-31;2022-02-23;2024-02-22;153057000;163970000;109528000;128888000;54000;6467000;;;;;244937000;-666628000;;;-582304000;-154459000;150936000;280356000;254408000;-82959000
BNL;11794980;USD;2022;FY;2022-12-31;2023-02-23;2025-02-20;169840000;180201000;129475000;149998000;-23866000;307000;;;;;255914000;-916144000;;;-859643000;-181224000;339980000;495566000;636000000;32271000
BNNR;11820489;USD;2022;FY;2022-12-31;2023-04-17;2023-04-17;15700000;15700000;-145576;;-2285929;1001170;;;;;-1430335;;;;293483;;;300;300;-1136552
BNTC;11036129;USD;2019;FY;2019-06-30;2019-09-23;2020-09-23;60046;60046;2609000;158000;700000;1323000;;;;;4790000;-400000;;;-400000;;;;;4390000
BNTC;11036129;USD;2020;FY;2020-06-30;2020-09-23;2021-09-20;60046;60046;-8274000;190000;423000;126000;;;;;-7535000;-94000;;;-94000;;;2250000;1770000;-5859000
BNTC;11036129;USD;2021;FY;2021-06-30;2021-09-20;2022-09-02;252570;252570;-13882000;231000;811000;8000;;;;;-12832000;-221000;;;-221000;;;25750000;22522000;9968000
BNTC;11036129;USD;2022;FY;2022-06-30;2022-09-02;2023-09-21;480495;480495;-18208000;167000;1105000;1037000;;;;;-15899000;-13000;;;-13000;;;;;-15708000
BNTC;11036129;USD;2023;FY;2023-06-30;2023-09-21;2024-09-26;1385818000;1385818000;-19562000;136000;700000;714000;;;;;-18012000;-1000;;;-1000;;;17884000;16015000;-1586000
BOCN;15337151;USD;2022;FY;2022-12-31;2023-03-31;2024-03-21;23718750;23718750;12658706;;-13902537;831894;;;;;-411937;;;;;;;;-11105;-423042
BOCN;15337151;USD;2023;FY;2023-12-31;2024-03-21;2024-03-21;23718750;;4422350;;-8548262;2570315;;;;;-1555597;;;;136546445;-136786445;1229946;;-135556499;-565651
BODY;12444323;USD;2020;FY;2020-12-31;2021-03-26;2023-03-16;6088539;6088539;-21432000;51742000;23649000;7471000;;;;;61430000;-37933000;;1247000;-46686000;;0;;165000;15263000
BODY;12444323;USD;2021;FY;2021-12-31;2022-03-01;2023-03-16;5507180;5507180;-228382000;74435000;53140000;-114442000;;;;;-215249000;-77911000;;-37280000;-125191000;;0;4680000;390651000;50227000
