Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
FOX;885908;USD;2020;FY;2020-06-30;2020-08-10;2022-08-12;616000000;616000000;12303000000;;;-9806000000;-1741000000;;-258000000;2497000000;-582000000;-334000000;1915000000;-451000000;1464000000;-402000000;1062000000;;999000000;999000000
FOX;885908;USD;2021;FY;2021-06-30;2021-08-10;2023-08-11;595000000;598000000;12909000000;;;-10144000000;;;;2765000000;188000000;-391000000;2953000000;-35000000;2918000000;-717000000;2201000000;;2150000000;2150000000
FOX;885908;USD;2022;FY;2022-06-30;2022-08-12;2024-08-08;595000000;595000000;13974000000;;;-11400000000;-1920000000;;-363000000;2574000000;-723000000;-371000000;1851000000;-157000000;1694000000;-461000000;1233000000;;1205000000;1205000000
FOX;885908;USD;2023;FY;2023-06-30;2023-08-11;2024-08-08;531000000;531000000;14913000000;;;-12149000000;-2049000000;;-411000000;2764000000;154000000;-218000000;2918000000;-1182000000;1736000000;-483000000;1253000000;;1239000000;1239000000
FOXF;1057789;USD;2019;FY;2019-12-31;2020-03-03;2022-02-24;38333000;39155000;751020000;-508285000;242735000;-129926000;-91793000;-31789000;-6344000;112809000;-4240000;-3173000;108569000;;108569000;-14099000;94470000;;93033000;93033000
FOXF;1057789;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;40229000;40801000;890554000;-601007000;289547000;-175398000;-123523000;-34292000;-17583000;114149000;-9619000;-9294000;104530000;;104530000;-12784000;91746000;;90674000;90674000
FOXF;1057789;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;42097000;42363000;1299064000;-866732000;432332000;-235418000;-168166000;-46567000;-20685000;196914000;-8533000;-8162000;188381000;;188381000;-24563000;163818000;;163818000;163818000
FOXF;1057789;USD;2022;FY;2022-12-31;2023-02-23;2024-02-23;42232000;42384000;1602491000;-1071148000;531343000;-284646000;-206904000;-56205000;-21537000;246697000;-12933000;-8939000;233764000;;233764000;-28486000;205278000;;205278000;205278000
FOXF;1057789;USD;2023;FY;2023-12-31;2024-02-23;2024-02-23;42305000;42432000;1464178000;-999366000;464812000;-304721000;-225033000;-53179000;-26509000;160091000;-21428000;-19320000;138663000;;138663000;-17817000;120846000;;120846000;120846000
FPAC;11795240;USD;2021;FY;2021-09-30;2021-06-01;2022-12-12;61373188;61373188;;;;-7010698;-7010698;;;-7010698;209262;;-6801436;2105240;-4696196;;-4696196;;-4696196;-4696196
FPAC;11795240;USD;2022;FY;2022-09-30;2022-12-12;2022-12-12;69750000;69750000;;;;-6639206;-6639206;;;-6639206;4981384;;-1657822;56391500;54733678;;54733678;;54733678;54733678
FPAY;11035567;USD;2019;FY;2019-12-31;2020-03-03;2021-03-09;17672156;17672156;88789889;-60221935;28567954;-23463717;;;;5104237;-4310422;-4310422;793815;;793815;-216400;577415;;577415;-1860469
FPAY;11035567;USD;2020;FY;2020-12-31;2021-03-09;2022-03-30;23227964;23227964;102084514;-66733090;35351424;-30725709;;;;4625715;-4302561;-4302561;323154;;323154;-663050;-339896;;-339896;-3492096
FPAY;11035567;USD;2021;FY;2021-12-31;2022-03-30;2023-04-24;21387960;23227964;125426756;-508493;124918263;-117553444;;;;7364819;-5238560;-5238560;2126259;1931825;4058084;-785310;3272774;;3272774;833675
FPAY;11035567;USD;2022;FY;2022-12-31;2023-04-24;2024-04-01;21646896;22425354;113056173;-3384013;109672160;-115975370;;;;-6303210;-11161396;-11161396;-17464606;14461274;-3003332;16635051;13631719;;13631719;9901139
FPAY;11035567;USD;2023;FY;2023-12-31;2024-04-01;2024-04-01;16260349;16260349;116975007;-6007598;110967409;-100955751;;;;10011658;-18913773;-18913773;-8902115;3678689;-5223426;989809;-4233617;;-4233617;-8337255
FPH;882941;USD;2019;FY;2019-12-31;2020-03-13;2022-03-11;145483144;224713074;184380000;-125605000;58775000;-109151000;-103586000;;;-50376000;10219000;7844000;-40157000;64870000;24713000;-2445000;22268000;;9033000;9033000
FPH;882941;USD;2020;FY;2020-12-31;2021-03-10;2023-03-06;145955731;148233640;153619000;-106239000;47380000;-88631000;-83504000;;;-41251000;44089000;1369000;2838000;;2838000;-1744000;1094000;;-428000;-428000
FPH;882941;USD;2021;FY;2021-12-31;2022-03-11;2024-03-04;67429394;67429394;224394000;-137471000;86923000;-83940000;-77118000;;;2983000;10002000;94000;12985000;;12985000;325000;13310000;;6568000;6568000
FPH;882941;USD;2022;FY;2022-12-31;2023-03-06;2024-03-04;67418564;143514974;42694000;-19265000;23429000;-62821000;-54591000;;;-39392000;22584000;826000;-16808000;-19437000;-36245000;1471000;-34774000;;-15403000;-15403000
FPI;1249733;USD;2019;FY;2019-12-31;2020-03-13;2021-03-19;29545000;29545000;53564000;-927000;52637000;-26294000;-6102000;;-8320000;26343000;-19328000;-19588000;7015000;7835000;14850000;;14850000;;13886000;1324000
FPI;1249733;USD;2020;FY;2020-12-31;2021-03-19;2022-03-01;29392000;29392000;50689000;-10737000;39952000;-17612000;-5896000;;-7972000;22340000;-17788000;-17677000;4552000;2978000;7530000;;7530000;;7119000;-5279000
FPI;1249733;USD;2021;FY;2021-12-31;2022-03-01;2023-02-23;32551000;32551000;51739000;-8856000;42883000;-26015000;-8208000;;-7629000;16868000;-15844000;-15929000;1024000;9235000;10259000;;10259000;;9991000;-5834000
FPI;1249733;USD;2022;FY;2022-12-31;2023-02-23;2024-02-29;50953000;50953000;61210000;-14156000;47054000;-21969000;-12005000;;-6960000;25085000;-15428000;-16143000;9657000;2530000;12187000;-227000;11960000;;11674000;8401000
FPI;1249733;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;50243000;58292000;57466000;-13414000;44052000;-20196000;-11274000;;-7499000;23856000;-22617000;-22657000;1239000;30276000;31515000;166000;31681000;;30913000;27786000
FPRX;378616;USD;2019;FY;2019-12-31;2020-02-27;2021-03-22;34970000;34970000;14874000;;;-156812000;-42749000;-114063000;;-141938000;4736000;;-137202000;;-137202000;;-137202000;;-137202000;-137202000
FPRX;378616;USD;2020;FY;2020-12-31;2021-03-22;2021-03-22;36834000;36834000;13178000;;;-106048000;-40557000;-65491000;;-92870000;1912000;;-90958000;;-90958000;6630000;-84328000;;-84328000;-84328000
FR;949678;USD;2019;FY;2019-12-31;2020-02-13;2022-02-18;126392000;126691000;425984000;;;-266383000;-28569000;;-121229000;159601000;-50273000;-50273000;109328000;121724000;231052000;-3406000;243881000;;238775000;238775000
FR;949678;USD;2020;FY;2020-12-31;2021-02-16;2023-02-16;127711000;127904000;448028000;;;-281681000;-32848000;;-129638000;166347000;-51293000;-51293000;115054000;83323000;198377000;-2408000;200169000;;204349000;204349000
FR;949678;USD;2021;FY;2021-12-31;2022-02-18;2024-02-14;129633000;129722000;476290000;;;-296863000;-34610000;;-130953000;179427000;-44264000;-44103000;135163000;146887000;282050000;-4879000;277171000;;277038000;277038000
FR;949678;USD;2022;FY;2022-12-31;2023-02-16;2024-02-14;129688000;129775000;539929000;;;-325055000;-33972000;;-147420000;214874000;65929000;-49013000;280803000;124172000;404975000;-23363000;381612000;;367519000;367519000
FR;949678;USD;2023;FY;2023-12-31;2024-02-14;2024-02-14;132264000;132341000;614027000;;;-365727000;-37121000;;-162951000;248300000;-42128000;-74335000;206172000;88357000;294529000;-8692000;285837000;;281701000;281701000
FRANQ;202677;USD;2019;FY;2020-01-31;2020-05-01;2020-05-01;2899000;2899000;407536000;-258000000;149536000;-161689000;-161689000;;;-12153000;-882000;-1204000;-13035000;-11860000;-24895000;-125000;-25020000;;-25020000;-25020000
FRD;543788;USD;2018;FY;2019-03-31;2019-07-01;2019-07-01;7010266;7010266;187154493;-174247456;12907037;-6523595;-6523595;;;6383442;440503;;6823945;;6823945;-1724021;5099924;;5099924;5099924
FRD;543788;USD;2019;FY;2020-03-31;2020-06-29;2021-07-07;7000403;7000403;142102324;-139491989;2610335;-5129378;-5129378;;;-2519043;19260;;-2499783;-4338419;-6838202;1588992;-5249210;;-5249210;-5249210
FRD;543788;USD;2020;FY;2021-03-31;2021-07-07;2022-08-02;7062628;7062628;126102533;-102517335;23585198;-7835184;-7835184;;;15750014;-528041;-24619;15221973;;15221973;-3797498;11424475;;11424475;11424475
FRD;543788;USD;2021;FY;2022-03-31;2022-08-02;2023-07-14;6899537;6899537;285235000;-244248000;40987000;-12467000;-12467000;;;28520000;1447000;-255000;29967000;-11636000;18331000;-4265000;14066000;;14066000;14066000
FRD;543788;USD;2022;FY;2023-03-31;2023-07-14;2023-07-14;7243080;7243080;547542000;-504457000;43085000;-22011000;-22011000;;;21074000;-2191000;-2218000;18883000;9306000;28189000;-6845000;21344000;;21344000;21344000
FREQ;1872881;USD;2019;FY;2019-12-31;2020-03-26;2021-03-29;35247680;35247680;28947000;;;-33622000;-14838000;-18784000;;-4675000;-14209000;1784000;-18884000;138000;-18746000;;-18746000;;-18746000;-19800000
FREQ;1872881;USD;2020;FY;2020-12-31;2021-03-29;2022-03-15;35247680;35247680;36984000;;;-64534000;-27119000;-37415000;;-27550000;990000;994000;-26560000;84000;-26476000;-35000;-26511000;;-26511000;-26511000
FREQ;1872881;USD;2021;FY;2021-12-31;2022-03-15;2023-03-10;35247680;35247680;14068000;;;-98099000;-37176000;-60923000;;-84031000;-617000;-367000;-84648000;-23000;-84671000;-15000;-84686000;;-84686000;-84686000
FREQ;1872881;USD;2022;FY;2022-12-31;2023-03-10;2024-03-26;35075924;35075924;;;;-58998000;-16797000;-42201000;;-58998000;976000;;-58022000;;-58022000;-10000;-58032000;;-58032000;-58032000
FREQ;1872881;USD;2023;FY;2023-12-31;2024-03-26;2024-03-26;1529321;1529321;;;;-84534000;-27284000;-57250000;;-84534000;3389000;;-81145000;;-81145000;-27000;-81172000;;-81172000;-81172000
FREY;17643984;USD;2020;FY;2020-12-31;2021-03-09;2022-03-09;37452000;37452359;;;;-8923000;-7043000;-1865000;-15000;-8923000;793000;-33000;-9609229;-1475000;-9605000;;-9605000;;-9605000;-9605000
FREY;17643984;USD;2021;FY;2021-12-31;2022-03-09;2023-02-27;75363000;75363000;;;;-75571000;-61561515;-13816000;;-75571000;4052000;314000;-93211065;-21859000;-93378000;;-93378000;;-93378000;-93378000
FREY;17643984;USD;2022;FY;2022-12-31;2023-02-27;2023-02-27;118474000;118474000;;;;-120931000;-107357000;-13574000;;-120931000;7906000;1780000;-99209951;13906000;-99119000;;-99119000;;-98791000;-98791000
FRGI;625539;USD;2019;FY;2019-12-31;2020-02-27;2022-03-10;26500356;26500356;363473000;-200028000;163445000;-149148000;-54258000;;-22186000;14297000;-1187000;-325000;13110000;-3275000;9835000;-11830000;-1995000;-82391000;-84386000;-84386000
FRGI;625539;USD;2020;FY;2020-12-31;2021-03-05;2023-03-03;25341415;25341415;315358000;-100080000;215278000;-215160000;-39848000;;-22009000;118000;1806000;-292000;1924000;-12354000;-10430000;7044000;-3386000;-6825000;-10211000;-10211000
FRGI;625539;USD;2021;FY;2021-12-31;2022-03-10;2023-03-03;25508930;25508930;357277000;-108593000;248684000;-250297000;-45524000;;-20574000;-1613000;-852000;-374000;-2465000;-4537000;-7002000;-1083000;-8085000;18455000;10370000;10370000
FRGI;625539;USD;2022;FY;2022-12-31;2023-03-03;2023-03-03;24965505;24965505;387351000;-124555000;262796000;-274402000;-52325000;;-20053000;-11606000;255000;-336000;-11351000;-3342000;-14693000;-968000;-15661000;1102000;-14559000;-14559000
FRHC;10383371;USD;2021;FY;2022-03-31;2022-05-31;2024-06-14;59378207;59378207;689790000;;;-242634000;-35449000;;;447156000;-80961000;-76947000;366195000;-2502000;363693000;-38570000;325123000;;325123000;325123000
FRHC;10383371;USD;2022;FY;2023-03-31;2023-08-04;2024-06-14;58629580;59504811;795693000;;;-325137000;-74030000;;;470556000;-205499000;-208947000;265057000;-29119000;235938000;-42776000;193162000;26118000;219280000;219280000
FRLA;17162845;USD;2021;FY;2021-12-31;2022-04-13;2023-04-13;;;;;;-133474;-97513;;;-133474;1310;;-132164;;-132164;;-132164;;-132164;-132164
FRLA;17162845;USD;2022;FY;2022-12-31;2023-04-13;2024-04-01;;;;;;-1159216;;;;-1159216;1466677;;307461;;307461;-355070;-47609;;-47609;-47609
FRLA;17162845;USD;2023;FY;2023-12-31;2024-04-01;2024-04-01;;;;;;-2198139;;;;-2198139;2342684;;144545;;144545;-496250;-351705;;-351705;-351705
FRO;6767425;USD;2019;FY;2019-12-31;2020-03-20;2022-03-17;173576000;179315000;957322000;-549067000;408255000;-168733000;-45019000;;-117850000;239522000;-90897000;-92955000;148625000;-8332000;140293000;-307000;139986000;;139972000;139972000
FRO;6767425;USD;2020;FY;2020-12-31;2021-03-18;2022-03-17;195637000;197808000;1221187000;-506259000;714928000;-207133000;-44238000;;-138770000;507795000;-73735000;-71455000;434060000;-21068000;412992000;14000;413006000;;412875000;412875000
FRO;6767425;USD;2021;FY;2021-12-31;2022-03-17;2024-04-26;198965000;198965000;753441000;-556943000;196498000;-188023000;-26424000;;-165205000;8475000;-26480000;-44123000;-18005000;7677000;-10328000;-4633000;-14961000;;-14961000;-14961000
FRO;6767425;USD;2022;FY;2022-12-31;2023-04-28;2024-04-26;198965000;198965000;1438248000;-780708000;657540000;-211921000;-47374000;;-165170000;445619000;-28029000;-43851000;417590000;58359000;475949000;-412000;475537000;;475537000;475537000
FRO;6767425;USD;2023;FY;2023-12-31;2024-04-26;2024-04-26;198965000;198965000;1826264000;-795128000;1031136000;-284470000;-53528000;;-230942000;746666000;-113036000;-153271000;633630000;22989000;656619000;-205000;656414000;;656414000;656414000
FROG;1205634;USD;2019;FY;2019-12-31;2020-02-12;2022-02-11;27130209;27130209;104716000;-20035000;84681000;-91618000;-61888000;-29730000;;-6937000;3171000;;-3766000;;-3766000;-1628000;-5394000;;-5394000;-5394000
FROG;1205634;USD;2020;FY;2020-12-31;2021-02-12;2023-02-09;46488225;46488225;150827000;-28451000;122376000;-136568000;-95455000;-41113000;;-14192000;2045000;;-12147000;;-12147000;2742000;-9405000;;-9405000;-9405000
FROG;1205634;USD;2021;FY;2021-12-31;2022-02-11;2024-02-15;95707000;95707000;206683000;-41823000;164860000;-233229000;-153625000;-79604000;;-68369000;744000;;-67625000;;-67625000;3422000;-64203000;;-64203000;-64203000
FROG;1205634;USD;2022;FY;2022-12-31;2023-02-09;2024-02-15;99243894;99243894;280040000;-62287000;217753000;-307593000;-186368000;-121225000;;-89840000;5094000;;-84746000;;-84746000;-5438000;-90184000;;-90184000;-90184000
FROG;1205634;USD;2023;FY;2023-12-31;2024-02-15;2024-02-15;103317759;103317759;349886000;-77043000;272843000;-348391000;-213807000;-134584000;;-75548000;21032000;;-54516000;;-54516000;-6740000;-61256000;;-61256000;-61256000
FRPH;7962766;USD;2019;FY;2019-12-31;2020-03-12;2022-03-30;19766000;19852000;23756000;;;-18000000;;;-5855000;5756000;-3008000;-1054000;2748000;9036000;11784000;-2962000;8822000;6856000;16177000;16177000
FRPH;7962766;USD;2020;FY;2020-12-31;2021-03-19;2023-03-23;19160000;19218000;23583000;;;-18449000;;;-5828000;5134000;-6790000;-1100000;-1656000;16585000;14929000;-3207000;11722000;;12715000;12715000
FRPH;7962766;USD;2021;FY;2021-12-31;2022-03-30;2024-03-26;18710000;18794000;31220000;-9387000;21833000;-19559000;;;-12737000;2274000;-3843000;-2304000;-1569000;51944000;50375000;-10281000;40094000;;28215000;28215000
FRPH;7962766;USD;2022;FY;2022-12-31;2023-03-23;2024-03-26;18710000;18794000;37481000;-10481000;27000000;-19004000;;;-11217000;7996000;-3293000;-3045000;4703000;874000;5577000;-1530000;4047000;;4565000;4565000
FRPH;7962766;USD;2023;FY;2023-12-31;2024-03-26;2024-03-26;18840000;18922000;41506000;-11333000;30173000;-18473000;;;-10821000;11700000;-5355000;-4315000;6345000;53000;6398000;-1516000;4882000;;5302000;5302000
FRPT;546551;USD;2019;FY;2019-12-31;2020-02-25;2022-03-01;35950117;35950117;245862000;-131665000;114197000;-114450000;-114450000;;;-253000;-986000;-991000;-1239000;;-1239000;-144000;-1383000;;-1383000;-1383000
FRPT;546551;USD;2020;FY;2020-12-31;2021-02-22;2023-02-28;39757660;39757660;318790000;-185880000;132910000;-134908000;-134908000;;;-1998000;-1125000;-1212000;-3123000;;-3123000;-65000;-3188000;;-3188000;-3188000
FRPT;546551;USD;2021;FY;2021-12-31;2022-03-01;2024-02-26;43373000;43373000;425489000;-263343000;162146000;-186809000;-186809000;;;-24663000;-2869000;-2882000;-27532000;-2005000;-29537000;-162000;-29699000;;-29699000;-29699000
FRPT;546551;USD;2022;FY;2022-12-31;2023-02-28;2024-02-26;46191000;46191000;595344000;-409311000;186033000;-238016000;-238016000;;;-51983000;-3498000;-5208000;-55481000;-3731000;-59212000;-282000;-59494000;;-59494000;-59494000
FRPT;546551;USD;2023;FY;2023-12-31;2024-02-26;2024-02-26;48163000;48163000;766895000;-516023000;250872000;-281318000;-281318000;;;-30446000;-1068000;-14097000;-31514000;-1890000;-33404000;-210000;-33614000;;-33614000;-33614000
FRSGU;11818834;USD;2021;FY;2021-12-31;2022-03-31;2022-03-31;22243955;22243955;;;;-6831911;-6665589;;;-6831911;7009056;;177145;-487468;-310323;;-310323;;-310323;-310323
FRT;378144;USD;2019;FY;2019-12-31;2020-02-10;2022-02-10;74766000;74766000;935788000;-187831000;747957000;-393439000;-42754000;;-239758000;354518000;-110369000;-108357000;244149000;116393000;360542000;;360542000;;353866000;345824000
FRT;378144;USD;2020;FY;2020-12-31;2021-02-11;2023-02-08;75515000;75515000;835494000;-170920000;664574000;-415949000;-41680000;;-255027000;248625000;-142457000;-134395000;106168000;29720000;135888000;;135888000;;131706000;123664000
FRT;378144;USD;2021;FY;2021-12-31;2022-02-10;2024-02-12;77485000;77575000;951224000;-198121000;753103000;-448328000;-49856000;;-279976000;304775000;-125644000;-126889000;179131000;89950000;269081000;;269081000;;261498000;253456000
FRT;378144;USD;2022;FY;2022-12-31;2023-02-08;2024-02-12;77336000;77368000;1074378000;-228958000;845420000;-482869000;-52636000;;-302409000;362551000;-130747000;-135917000;231804000;163857000;395661000;;395661000;;385491000;377457000
FRT;378144;USD;2023;FY;2023-12-31;2024-02-12;2024-02-12;81313000;81313000;1132154000;-231666000;900488000;-503899000;-50707000;;-321763000;396589000;-159253000;-163122000;237336000;9881000;247217000;;247217000;;236985000;228953000
FRTA;9076209;USD;2019;FY;2019-12-31;2020-02-27;2022-03-01;64232000;64232000;1529752000;-1233370000;296382000;-220676000;-221770000;;;75706000;-84504000;-94970000;-8798000;-1812000;-10610000;3279000;-7331000;;-7331000;-7331000
FRTA;9076209;USD;2020;FY;2020-12-31;2021-02-25;2022-03-01;65300000;68200000;1594506000;-1217833000;376673000;-220361000;-221770000;;;156312000;-68599000;-79890000;87713000;-14767000;72946000;-8460000;64486000;;64486000;64486000
FRTA;9076209;USD;2021;FY;2021-12-31;2022-03-01;2022-03-01;66719000;69644000;1858270000;-1437872000;420398000;-202383000;-216146000;;;218015000;-62384000;-74976000;155631000;-645000;154986000;-38669000;116317000;;116317000;116317000
FRZA;15585620;USD;2021;FY;2021-12-31;2022-03-28;2023-03-28;7000000;;;;;-381528;-85761;-211111;-3208;-381528;-15771;-15771;-397299;-60252;-457551;;-457551;;-457551;-457551
FRZA;15585620;USD;2022;FY;2022-12-31;2023-03-28;2024-03-27;8332735;8332735;;-232744;-232744;-3420515;-473900;-957220;-59965;-3653259;54760;11466;-3598499;-31582;-3630081;;-3630081;;-3630081;-3630081
FRZA;15585620;USD;2023;FY;2023-12-31;2024-03-27;2024-03-27;13365613;13365613;37118;-157637;-120519;-6472914;-1112920;-1540903;-185900;-6593433;505501;-2293;-6087932;154819;-5933113;;-5933113;;-5933113;-5933113
FSCT;897042;USD;2019;FY;2019-12-31;2020-02-28;2020-02-28;45957000;45957000;336801000;-79178000;257623000;-358859000;-276064000;-82795000;;-101236000;1422000;-496000;-99814000;0;-99814000;-18721000;-118535000;;-118535000;-118535000
FSI;16682766;USD;2021;FY;2021-12-31;2022-03-29;2023-03-31;12316254;12505522;34416335;-22994848;11379345;-5667457;-5063241;;;5809580;-147022;-121931;6654296;988198;6650756;-2356499;4294257;;3449162;3449162
FSI;16682766;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;12379316;12466415;45840469;-31951214;13835192;-6486157;-5642984;;;7563791;-183807;-160716;7851831;479101;7859085;-145856;7713229;;7021604;7021604
FSII;1841923;USD;2020;FY;2020-12-31;2021-03-29;2022-03-29;;;;;;-5313000;-750000;-4563000;;-5313000;;;-5313000;-7693000;-13006000;;-13006000;;-13006000;-13006000
FSII;1841923;USD;2021;FY;2021-12-31;2022-03-29;2023-03-14;;;;;;-38488000;-10336000;-28152000;;-38488000;-30000;-30000;-38518000;;-38518000;;-38518000;;-38518000;-38518000
FSII;1841923;USD;2022;FY;2022-12-31;2023-03-14;2023-03-14;;;;;;-99817000;-29467000;-70350000;;-99817000;3183000;3183000;-96634000;;-96634000;;-96634000;;-96634000;-96634000
FSLR;260908;USD;2019;FY;2019-12-31;2020-02-21;2022-03-01;105310000;105310000;3063117000;-2513905000;549212000;-347997000;-251386000;-96611000;;201215000;41656000;21820000;242871000;-363000000;-120129000;5480000;-114933000;;-114933000;-114933000
FSLR;260908;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;105867000;106686000;2711332000;-2030659000;680673000;-357184000;-263446000;-93738000;;323489000;-24299000;-7477000;299190000;-6000000;293190000;107294000;398355000;;398355000;398355000
FSLR;260908;USD;2021;FY;2021-12-31;2022-03-01;2024-02-27;106320000;106899000;2923377000;-2193423000;729954000;-290487000;-191372000;-99115000;;439467000;-14589000;-6928000;424878000;147284000;572162000;-103469000;468693000;;468693000;468693000
FSLR;260908;USD;2022;FY;2022-12-31;2023-02-28;2024-02-27;106551000;106551000;2619319000;-2549461000;69858000;-350605000;-237801000;-112804000;;-280747000;35834000;21059000;-244913000;253511000;8598000;-52764000;-44166000;;-44166000;-44166000
FSLR;260908;USD;2023;FY;2023-12-31;2024-02-27;2024-02-27;106795000;107372000;3318602000;-2017923000;1300679000;-414706000;-262399000;-152307000;;885973000;34024000;84702000;919997000;-28707000;891290000;-60513000;830777000;;830777000;830777000
FSLY;996256;USD;2019;FY;2019-12-31;2020-03-04;2022-03-01;68350000;68350000;200462000;-88322000;112140000;-158688000;-112196000;-46492000;;-46548000;-4510000;-1949000;-51058000;;-51058000;-492000;-51550000;;-51550000;-51550000
FSLY;996256;USD;2020;FY;2020-12-31;2021-03-01;2023-02-27;103552000;103552000;290874000;-120007000;170867000;-278079000;-203265000;-74814000;;-107212000;-200000;79000;-107412000;;-107412000;11480000;-95932000;;-95932000;-95932000
FSLY;996256;USD;2021;FY;2021-12-31;2022-03-01;2024-02-22;116475000;116475000;354330000;-167002000;187328000;-406349000;-279490000;-126859000;;-219021000;-3607000;-3963000;-222628000;;-222628000;-69000;-222697000;;-222697000;-222697000
FSLY;996256;USD;2022;FY;2022-12-31;2023-02-27;2024-02-22;121723000;121723000;432725000;-222944000;209781000;-455980000;-300672000;-155308000;;-246199000;1128000;1157000;-245071000;54391000;-190680000;-94000;-190774000;;-190774000;-190774000
FSLY;996256;USD;2023;FY;2023-12-31;2024-02-22;2024-02-22;128770000;128770000;505988000;-239660000;266328000;-460040000;-307850000;-152190000;;-193712000;12303000;14135000;-181409000;48100000;-133309000;221000;-133088000;;-133088000;-133088000
FSNB;12442282;USD;2021;FY;2021-12-31;2022-03-31;2023-11-01;62266549;62500000;;;;-1534739;-1534739;;;-1534739;173593;;-1361146;14327774;12966628;-773;12965855;;12965855;12965855
FSNB;12442282;USD;2022;FY;2022-12-31;2023-11-01;2023-11-01;62500000;62500000;;;;-1536647;-1536647;;;-1536647;6872860;;5336213;12633799;17970012;-1402074;16567938;;16567938;16567938
FSP;949683;USD;2019;FY;2019-12-31;2020-02-11;2022-02-15;107233000;107233000;269065000;;;-225564000;-14473000;;-90909000;43501000;-36757000;-36757000;6744000;;6744000;-269000;6475000;;6475000;6475000
FSP;949683;USD;2020;FY;2020-12-31;2021-02-16;2023-02-14;107303000;107303000;245848000;;;-218885000;-14997000;;-88558000;26963000;-36026000;-36026000;-9063000;41928000;32865000;-250000;32615000;;32615000;32615000
FSP;949683;USD;2021;FY;2021-12-31;2022-02-15;2024-02-26;107303000;107303000;209358000;;;-196384000;-15898000;;-78544000;12974000;-32273000;-32273000;-19299000;112233000;92934000;-638000;92717000;;92717000;92717000
FSP;949683;USD;2022;FY;2022-12-31;2023-02-14;2024-02-26;103338000;103338000;165615000;;;-165133000;-13885000;;-63808000;482000;-22808000;-22808000;-22326000;23624000;1298000;-204000;1094000;;1094000;1094000
FSP;949683;USD;2023;FY;2023-12-31;2024-02-26;2024-02-26;103357000;103357000;145707000;;;-146691000;-14021000;;-54738000;-984000;-23751000;-23751000;-24735000;-23096000;-47831000;-279000;-48110000;;-48110000;-48110000
FSR;3307749;USD;2019;FY;2019-12-31;2020-03-12;2022-02-28;277258103;277258103;;;;-10588000;-3626000;-6962000;;-10588000;-211000;-170000;-10799000;-80000;-10879000;;-10879000;;-10879000;-10879000
FSR;3307749;USD;2020;FY;2020-12-31;2021-03-31;2023-03-01;135034921;135034921;;;;-43324000;-22272000;-21052000;;-43324000;-1263000;-1531000;-44587000;-85417000;-130004000;;-130004000;;-130004000;-130004000
FSR;3307749;USD;2021;FY;2021-12-31;2022-02-28;2024-04-23;135034921;135034921;106000;-88000;18000;-329254000;-42398000;-286856000;;-329236000;-3654000;-5919000;-332890000;-138436000;-471326000;-15000;-471341000;;-471341000;-471341000
FSR;3307749;USD;2022;FY;2022-12-31;2023-03-01;2024-04-23;303366068;303366068;342000;-263000;79000;-530324000;-106417000;-423907000;;-530245000;-10206000;-8048000;-540451000;-6860000;-547311000;-185000;-547496000;;-547496000;-547496000
FSR;3307749;USD;2023;FY;2023-12-31;2024-04-23;2024-04-23;343978989;343978989;272883000;-558821000;-285938000;-316517000;-249160000;-67357000;;-602455000;-6579000;6000000;-609034000;-329614000;-938648000;-1299000;-939947000;;-939947000;-939947000
FSRX;12444351;USD;2021;FY;2021-12-31;2022-03-29;2023-03-31;7375342;26412055;;;;-649181;-649181;;;-649181;25647;25647;-623534;3164196;2540662;;2540662;;2540662;2540662
FSRX;12444351;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;30800000;30800000;;;;-836341;-836341;;;-836341;4254086;4254086;3417745;4667612;8085357;-808562;7276795;;7276795;7276795
FSS;968229;USD;2019;FY;2019-12-31;2020-02-27;2022-03-01;60200000;61600000;1221300000;-898500000;322800000;-173200000;-164400000;;-8800000;149600000;-8500000;-7900000;141100000;-2500000;138600000;-30200000;108400000;100000;108500000;108500000
FSS;968229;USD;2020;FY;2020-12-31;2021-02-25;2023-03-01;60300000;61700000;1130800000;-837200000;293600000;-158800000;-149200000;;-9600000;134800000;-6800000;-5700000;128000000;-3400000;124600000;-28500000;96100000;-100000;96000000;96000000
FSS;968229;USD;2021;FY;2021-12-31;2022-03-01;2024-02-27;60900000;61700000;1213200000;-924500000;288700000;-160100000;-149200000;;-10900000;128600000;-2800000;-4500000;125800000;-8200000;117600000;-17000000;100600000;;100600000;100600000
